policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,honest-0,default,20,1,accepted,3.150189,1.022335,1065.273996,0.016152,874178,1070.379715
idba,honest-0,default,20,1,accepted,3.216687,1.069105,2688.705967,0.017131,2253914,2693.775265
idba,honest-0,default,20,1,accepted,2.761709,1.038989,121.329632,0.015854,80347,125.921771
idba,honest-0,default,20,1,accepted,2.982155,1.114477,1579.603828,0.022899,1316960,1584.637521
idba,honest-0,default,20,1,accepted,3.192771,1.078213,1313.789032,0.017876,1091581,1318.975016
idba,honest-0,default,20,1,accepted,2.865019,1.054199,1772.722140,0.017756,1475948,1777.588433
idba,honest-0,default,20,1,accepted,2.880989,1.033303,171.443401,0.016253,121608,176.207613
idba,honest-0,default,20,1,accepted,3.170179,1.069378,424.105671,0.015757,334071,429.308495
idba,honest-0,default,20,1,accepted,3.012008,1.071508,2868.331922,0.018641,2409364,2873.356514
idba,honest-0,default,20,1,accepted,3.098474,1.050511,304.847537,0.017088,234091,309.832917
idba,honest-0,default,20,1,accepted,3.270769,1.062800,198.497027,0.016029,143800,203.692015
idba,honest-0,default,20,1,accepted,1.797147,1.078648,785.352659,0.016912,646688,788.824714
idba,honest-0,default,20,1,accepted,3.068901,1.104150,833.221825,0.015938,682000,838.310585
idba,honest-0,default,20,1,accepted,2.877288,1.073961,3075.246933,0.019384,2576397,3079.938888
idba,honest-0,default,20,1,accepted,2.935176,1.050108,148.652335,0.017010,101583,153.419419
idba,honest-0,default,20,1,accepted,3.153820,1.045886,1073.681730,0.016734,886073,1078.830419
idba,honest-0,default,20,1,accepted,2.935324,1.051015,374.944080,0.016018,293160,379.730842
idba,honest-0,default,20,1,accepted,3.212115,1.048757,672.696283,0.017085,543371,677.782968
idba,honest-0,default,20,1,accepted,3.148005,1.056378,1584.248607,0.017764,1320747,1589.432170
idba,honest-0,default,20,1,accepted,3.403498,1.049454,691.834193,0.016085,563577,697.224460
idba,honest-0,default,20,1,accepted,3.381811,1.040533,723.050186,0.016188,583657,728.309677
idba,honest-0,default,20,1,accepted,3.091088,1.083218,481.191487,0.016913,382648,486.184053
idba,honest-0,default,20,1,accepted,3.213861,1.031483,1354.490192,0.016687,1124034,1359.570798
idba,honest-0,default,20,1,accepted,3.144727,1.073021,1998.082073,0.019817,1665775,2003.173686
idba,honest-0,default,20,1,accepted,3.171700,1.049170,99.723027,0.015899,61568,104.718849
idba,honest-0,default,20,1,accepted,3.346752,1.035285,493.705114,0.016266,392958,498.997975
idba,honest-0,default,20,1,accepted,3.348530,1.843147,3439.940191,0.021419,2890629,3446.116795
idba,honest-0,default,20,1,accepted,2.926843,1.040636,998.437573,0.016496,828010,1003.166708
idba,honest-0,default,20,1,accepted,2.899429,1.042277,68.967422,0.015940,34459,73.773659
idba,honest-0,default,20,1,accepted,3.365965,1.068433,1361.865494,0.016662,1124103,1367.161925
idba,honest-0,default,20,1,accepted,3.149812,1.083741,2468.598834,0.016933,2073921,2473.784492
idba,honest-0,default,20,1,accepted,3.143618,1.048989,402.249620,0.016357,315089,407.297811
idba,honest-0,default,20,1,accepted,3.039919,1.086102,780.235611,0.016271,636777,785.289886
idba,honest-0,default,20,1,accepted,3.194754,1.078255,1914.134275,0.016332,1603606,1919.364650
idba,honest-0,default,20,1,accepted,2.829302,1.017760,1668.479353,0.016094,1399758,1673.057423
idba,honest-0,default,20,1,accepted,2.863255,1.067734,3254.855791,0.015936,2767060,3259.684183
idba,honest-0,default,20,1,accepted,2.996990,1.064039,1156.861261,0.015966,961265,1161.802643
idba,honest-0,default,20,1,accepted,3.331712,1.177130,2798.765701,0.023393,2340892,2804.218575
idba,honest-0,default,20,1,accepted,3.278812,1.071363,2855.035949,0.016629,2398693,2860.296954
idba,honest-0,default,20,1,accepted,2.893805,1.186619,201.364622,0.023741,150581,206.279420
idba,honest-0,default,20,1,accepted,2.980489,1.066814,185.418992,0.015864,133580,190.344637
idba,honest-0,default,20,1,accepted,3.002009,1.093468,3050.945736,0.020947,2542176,3055.885080
idba,honest-0,default,20,1,accepted,2.915622,1.021014,2210.222472,0.015932,1839824,2215.036173
idba,honest-0,default,20,1,accepted,2.921819,1.085811,3098.059119,0.017439,2599318,3103.039185
idba,honest-0,default,20,1,accepted,2.724582,1.015435,610.061042,0.016403,497475,614.637389
idba,honest-0,default,20,1,accepted,3.093411,1.084413,2356.631317,0.016561,1987509,2361.686292
idba,honest-0,default,20,1,accepted,3.092310,1.099142,652.677175,0.015782,530123,657.713852
idba,honest-0,default,20,1,accepted,3.017440,1.100231,2925.881889,0.016890,2449805,2930.903349
idba,honest-0,default,20,1,accepted,1.956930,1.071877,2573.475311,0.016553,2163152,2577.227756
idba,honest-0,default,20,1,accepted,3.349635,1.062453,1328.774931,0.015889,1097096,1334.035261
idba,honest-0,default,20,1,accepted,3.467169,1.075354,432.076480,0.015858,338368,437.455118
idba,honest-0,default,20,1,accepted,3.400310,1.069496,794.364579,0.016153,645400,799.625514
idba,honest-0,default,20,1,accepted,3.338429,0.966045,3124.973625,0.019380,2620477,3130.213839
idba,honest-0,default,20,1,accepted,3.387583,1.049344,2554.910171,0.016181,2135467,2560.169046
idba,honest-0,default,20,1,accepted,2.875220,1.038808,213.975252,0.015987,158470,218.765011
idba,honest-0,default,20,1,accepted,3.273541,0.936336,5162.835160,0.016088,4331679,5167.911910
idba,honest-0,default,20,1,accepted,2.943817,1.034796,186.272482,0.016066,133279,191.027636
idba,honest-0,default,20,1,accepted,3.225855,1.041158,1599.991322,0.015959,1328311,1605.112370
idba,honest-0,default,20,1,accepted,3.010947,1.065391,5132.720613,0.016676,4330593,5137.725264
idba,honest-0,default,20,1,accepted,3.122771,1.048466,3236.998621,0.015781,2715318,3242.082092
idba,honest-0,default,20,1,accepted,3.144928,0.927805,2118.837076,0.016452,1770887,2123.769403
idba,honest-0,default,20,1,accepted,2.943603,1.044556,93.759671,0.016146,57130,98.585262
idba,honest-0,default,20,1,accepted,3.248926,1.084798,698.458018,0.016731,573458,703.619101
idba,honest-0,default,20,1,accepted,3.268975,1.044708,604.127563,0.016139,481736,609.369489
idba,honest-0,default,20,1,accepted,3.251532,1.031556,686.160297,0.017047,555565,691.274574
idba,honest-0,default,20,1,accepted,3.382227,1.060426,677.706051,0.015907,549742,683.105095
idba,honest-0,default,20,1,accepted,3.324921,1.073543,1675.040449,0.016698,1389973,1680.250046
idba,honest-0,default,20,1,accepted,1.669901,1.051964,138.386976,0.019692,117208,141.652899
