policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,default,20,1,accepted,2.550491,2.250036,1434.840522,0.016125,2854780,1441.765697
idba,sybil-0,reward,21,1,accepted,2.619912,2.623665,69.289677,0.017663,140075,76.601840
idba,sybil-0,default,20,1,accepted,2.633961,2.461367,145.263860,0.016602,293296,152.332541
idba,sybil-0,hotspot,21,1,accepted,2.359712,2.381425,239.981107,0.017313,509630,246.517234
idba,sybil-0,hotspot,21,1,accepted,2.497992,2.035261,1593.587831,0.018027,3171260,1600.342127
idba,sybil-0,hotspot,21,1,accepted,2.737527,2.515797,81.493675,0.017388,164815,88.756512
idba,sybil-0,hotspot,21,1,accepted,2.583867,2.420709,327.446167,0.018254,666205,334.558747
idba,sybil-0,committee,21,1,accepted,2.633445,1.940819,281.692580,0.017270,569951,288.368190
idba,sybil-0,default,20,1,accepted,2.558975,2.239643,1096.326564,0.018096,2182813,1103.305062
idba,sybil-0,hotspot,21,1,accepted,2.837019,1.974876,492.376123,0.017782,992048,499.220418
idba,sybil-0,default,20,1,accepted,2.756148,2.366987,12.636982,0.015939,26079,19.999082
idba,sybil-0,hotspot,21,1,accepted,2.761964,1.951966,4609.882469,0.018857,9043767,4616.656209
idba,sybil-0,hotspot,21,1,accepted,2.670232,2.528466,287.801339,0.017416,579266,295.126423
idba,sybil-0,default,20,1,accepted,2.760927,2.546957,82.534101,0.015945,164661,89.950443
idba,sybil-0,hotspot,21,1,accepted,2.514161,1.939110,92.326719,0.017416,188822,99.112007
idba,sybil-0,reward,21,1,accepted,2.582656,2.633034,198.135230,0.017809,399532,205.479435
idba,sybil-0,committee,21,1,accepted,2.525695,1.957489,432.716603,0.017273,870644,439.274741
idba,sybil-0,default,20,1,accepted,2.648161,2.387053,676.507973,0.016198,1356509,683.617524
idba,sybil-0,reward,21,1,accepted,2.648401,2.580160,146.399159,0.017208,291726,153.686479
idba,sybil-0,default,20,1,accepted,2.592254,2.090939,850.382873,0.016374,1691631,857.176123
idba,sybil-0,default,20,1,accepted,2.818501,2.294635,709.334019,0.015759,1420273,716.407992
idba,sybil-0,default,20,1,accepted,2.520801,2.534223,433.554747,0.015939,875101,440.702163
idba,sybil-0,default,20,1,accepted,2.612785,1.882115,974.458067,0.016011,1950002,981.115902
idba,sybil-0,hotspot,21,1,accepted,2.211292,1.849120,428.116282,0.017599,880407,434.429032
idba,sybil-0,committee,21,1,accepted,2.343465,2.480581,914.247315,0.018200,1848129,921.092140
idba,sybil-0,hotspot,21,1,accepted,2.376428,2.286067,1738.230556,0.017749,3470665,1744.715376
idba,sybil-0,default,20,1,accepted,2.344009,2.416762,209.391553,0.015975,430991,216.098363
idba,sybil-0,committee,21,1,accepted,2.374095,2.026294,1814.750815,0.018697,3617181,1821.096809
idba,sybil-0,hotspot,21,1,accepted,2.375653,2.066342,269.046788,0.017867,549577,275.341064
idba,sybil-0,hotspot,21,1,accepted,2.199168,2.195393,288.085672,0.017247,589787,294.364179
idba,sybil-0,committee,21,1,accepted,2.254611,2.086643,1680.089622,0.017179,3351277,1686.563276
idba,sybil-0,reward,21,1,accepted,2.001477,2.185794,121.140653,0.039312,250170,127.315284
idba,sybil-0,committee,21,1,accepted,2.296863,2.483768,393.968467,0.017502,804694,400.742082
idba,sybil-0,committee,21,1,accepted,2.136193,2.103539,3179.181851,0.018571,6295893,3185.499971
idba,sybil-0,hotspot,21,1,accepted,2.131418,1.801537,5.267890,0.017530,10942,11.251222
idba,sybil-0,reward,21,1,accepted,2.206865,2.493808,267.153461,0.017914,547751,273.834043
idba,sybil-0,default,20,1,accepted,1.986306,2.161055,210.963969,0.016088,432538,217.291937
idba,sybil-0,hotspot,21,1,accepted,2.128553,2.109253,627.186962,0.017222,1271690,633.402928
idba,sybil-0,default,20,1,accepted,2.410151,2.120334,1118.216260,0.018001,2238269,1124.649419
idba,sybil-0,committee,21,1,accepted,2.275531,2.522628,275.146978,0.017780,558725,281.918705
idba,sybil-0,reward,21,1,accepted,2.394951,2.228225,152.812227,0.017253,302207,159.480401
idba,sybil-0,default,20,1,accepted,2.889201,1.996154,1224.579345,0.016323,2367998,1231.486087
idba,sybil-0,reward,21,1,accepted,2.476269,1.949800,1035.918241,0.017980,2033256,1042.481546
idba,sybil-0,hotspot,21,1,accepted,2.738797,1.964469,394.239866,0.017079,784767,400.932056
idba,sybil-0,committee,21,1,accepted,2.454976,2.417291,41.392544,0.017267,83245,48.228284
idba,sybil-0,reward,21,1,accepted,2.591836,1.958789,1954.143107,0.017991,3802131,1960.805246
idba,sybil-0,reward,21,1,accepted,2.652024,2.589999,114.959427,0.017116,230556,122.202733
idba,sybil-0,hotspot,21,1,accepted,2.293934,1.993792,2639.907682,0.017958,5102053,2646.176183
idba,sybil-0,hotspot,21,1,accepted,2.754502,2.016129,1857.670929,0.017497,3589562,1864.483330
idba,sybil-0,default,20,1,accepted,2.729806,1.968358,303.569689,0.016071,599668,310.477529
idba,sybil-0,hotspot,21,1,accepted,2.541683,1.932683,473.064816,0.017623,935494,479.627096
idba,sybil-0,committee,21,1,accepted,2.660834,2.102096,6670.853418,0.020752,12752900,6677.737500
idba,sybil-0,hotspot,21,1,accepted,2.810449,2.531166,94.341974,0.017544,188198,101.829453
idba,sybil-0,hotspot,21,1,accepted,2.720591,1.949639,1877.955972,0.017716,3627105,1884.699512
idba,sybil-0,committee,21,1,accepted,2.810314,1.874939,623.589479,0.017810,1220205,630.233236
idba,sybil-0,reward,21,1,accepted,2.691194,1.948279,813.280075,0.017577,1577011,820.217408
idba,sybil-0,reward,21,1,accepted,2.714746,2.002083,1448.480307,0.020052,2794563,1455.216235
idba,sybil-0,default,20,1,accepted,2.841170,2.546178,72.247628,0.016378,144124,79.705813
